tconst,parentTconst,seasonNumber,episodeNumber
tt10048486,tt10045512,1,2
tt10048492,tt10045512,1,3
tt10048498,tt10045512,1,4
tt10048502,tt10045512,1,5
tt10048762,tt10048600,1,1
tt10048768,tt10048600,1,2
tt10048782,tt10048600,1,3
tt10048796,tt10048600,1,10
tt10048866,tt10041150,1,1
tt10049350,tt10033744,1,1
tt10049732,tt10044790,1,2
tt10049734,tt10044790,1,3
tt10049736,tt10044790,1,5
tt10049740,tt10044790,1,8
tt10049744,tt10044790,1,11
tt10049748,tt10044790,1,12
tt10050106,tt10044166,1,1
tt10050108,tt10044166,1,2
tt10050110,tt10044166,1,3
tt10050112,tt10044166,1,4
tt10050114,tt10044166,1,5
tt10050116,tt10044166,1,6
tt10050118,tt10044166,1,7
tt10050120,tt10044166,1,8
tt10050122,tt10044166,1,9
tt10050124,tt10044166,1,10
tt10050126,tt10044166,1,11
tt10050128,tt10044166,1,12
tt10050132,tt10044166,1,13
tt10050134,tt10044166,1,14
tt10050138,tt10044166,1,15
tt10050140,tt10044166,1,16
tt10050144,tt10044166,1,17
tt10050146,tt10044166,1,18
tt10050148,tt10044166,1,19
tt10050152,tt10044166,1,20
tt10050154,tt10044166,1,21
tt10050156,tt10044166,1,22
tt10050158,tt10044166,1,23
tt10050160,tt10044166,1,24
tt10050162,tt10044166,1,25
tt10050164,tt10044166,1,26
tt10050168,tt10044166,1,27
tt10050170,tt10044166,1,28
tt10050172,tt10044166,1,29
tt10050174,tt10044166,1,30
tt10050488,tt10005994,3,1
tt10050492,tt10005994,3,2
tt10050494,tt10005994,3,3
tt10050498,tt10005994,3,4
tt10050502,tt10005994,3,5
tt10050504,tt10005994,3,6
tt10050508,tt10005994,3,7
tt10050512,tt10005994,3,8
tt10050810,tt10050774,1,1
tt10051122,tt10050774,1,2
tt10053016,tt10051598,1,1
tt10053106,tt10051598,1,2
tt10053196,tt10051598,1,3
tt10053284,tt10051598,1,4
tt10054264,tt10048372,1,1
tt10054266,tt10048372,1,2
tt10055046,tt10054870,1,1
tt10055252,tt10050654,1,1
tt10055590,tt10050774,1,3
tt10056058,tt10054496,1,1
tt10056218,tt10054496,1,2
tt10059270,tt10058616,1,1
tt10059328,tt10058616,1,2
tt10059346,tt10058616,1,3
tt10059360,tt10058616,1,4
tt10059380,tt10058616,1,5
tt10059388,tt10058616,1,6
tt10059406,tt10058616,1,7
tt10059418,tt10058616,1,8
tt10059664,tt10021056,2,1
tt10061268,tt10050774,1,4
tt10061272,tt10050774,1,5
tt10062668,tt10058722,2,1
tt10062674,tt10058722,2,2
tt10062680,tt10058722,2,3
tt10062682,tt10058722,2,4
tt10062684,tt10058722,2,5
tt10062690,tt10058722,2,6
tt10062696,tt10058722,1,1
tt10062698,tt10058722,1,2
tt10062700,tt10058722,1,3
tt10062706,tt10058722,1,4
tt10062710,tt10058722,1,5
tt10062712,tt10058722,1,6
tt10064118,tt10021056,2,2
tt10064132,tt10021056,2,3
tt10064136,tt10021056,2,4
tt10064142,tt10021056,2,5
tt10064154,tt10039060,1,1
tt10064160,tt10039060,1,2
tt10064162,tt10061400,1,1
tt10064168,tt10061400,1,2
tt10064170,tt10039060,1,3
tt10064174,tt10039060,1,4
tt10064178,tt10039060,1,5
tt10064180,tt10061400,1,3
tt10064182,tt10039060,1,6
tt10064186,tt10039060,1,7
tt10064192,tt10039060,1,8
tt10064202,tt10039060,1,9
tt10064208,tt10039060,1,10
tt10064212,tt10039060,1,11
tt10064232,tt10039060,1,12
tt10064238,tt10039060,1,13
tt10064252,tt10061400,1,4
tt10064348,tt10061400,1,5
tt10064712,tt10026332,1,1
tt10064720,tt10026332,1,2
tt10064804,tt10064474,1,1
tt10064830,tt10064474,1,2
tt10064846,tt10064474,1,3
tt10064870,tt10064474,1,4
tt10064882,tt10064474,1,5
tt10064888,tt10064474,1,6
tt10065102,tt10053044,1,1
tt10065144,tt10053044,1,2
tt10065356,tt10234636,NULL,NULL
tt10065480,tt10063752,1,1
tt10065504,tt10063752,1,2
tt10065786,tt10065064,1,1
tt10065798,tt10065064,1,2
tt10065800,tt10065568,1,1
tt10065810,tt10065568,1,2
tt10065826,tt10065568,1,3
tt10065854,tt10065064,1,3
tt10065858,tt10065568,1,4
tt10065868,tt10065064,1,4
tt10065886,tt10065064,1,5
tt10065904,tt10065064,1,6
tt10066654,tt10066634,1,1
tt10066692,tt10066406,1,1
tt10066696,tt10066406,1,2
tt10066700,tt10066406,1,3
tt10067538,tt10062688,2,138
tt10067606,tt10013366,1,1
