ID,genre
tt0548865,23
tt0548876,23
tt0548887,23
tt0548896,23
tt0548897,23
tt0548898,23
tt0548901,23
tt0564465,1
tt0564465,16
tt0640426,1
tt0640426,2
tt0640426,22
tt0640427,1
tt0640427,2
tt0640427,22
tt0640428,1
tt0640428,2
tt0640428,22
tt0640429,1
tt0640429,2
tt0640429,22
tt0640430,1
tt0640430,2
tt0640430,22
tt0640431,1
tt0640431,2
tt0640431,22
tt0640432,1
tt0640432,2
tt0640432,22
tt0640433,1
tt0640433,2
tt0640433,22
tt0640434,1
tt0640434,2
tt0640434,22
tt0640435,1
tt0640435,2
tt0640435,22
tt0640436,1
tt0640436,2
tt0640436,22
tt0640437,1
tt0640437,2
tt0640437,22
tt0640438,1
tt0640438,2
tt0640438,22
tt0640439,1
tt0640439,2
tt0640439,22
tt0640440,1
tt0640440,2
tt0640440,22
tt0640441,1
tt0640441,2
tt0640441,22
tt0640442,1
tt0640442,2
tt0640442,22
tt0640443,1
tt0640443,2
tt0640443,22
tt0640444,1
tt0640444,2
tt0640444,22
tt0640445,1
tt0640445,2
tt0640445,22
tt0640446,1
tt0640446,2
tt0640446,22
tt0640447,1
tt0640447,2
tt0640447,22
tt0640448,1
tt0640448,2
tt0640448,22
tt0640449,1
tt0640449,2
tt0640449,22
tt0640450,1
tt0640450,2
tt0640450,22
tt0640451,1
tt0640451,2
tt0640451,22
tt0658096,2
tt0658097,2
tt0658106,2
tt0658114,2
tt0658117,2
tt0658124,2
tt0658125,2
tt0658126,2
tt0658131,2
tt0658135,2
tt0658136,2
tt0703023,1
tt0703023,4
tt0703023,9
tt0756435,23
tt0765453,2
tt0775440,4
tt0775440,6
tt0775440,9
tt0787524,1
tt0787524,18
tt0790770,1
tt0790770,18
tt0790770,22
tt0800296,12
tt0802972,0
tt0803096,3
tt0803096,4
tt0803096,9
tt0810001,10
tt0810001,22
tt0810819,1
tt0810819,5
tt0810819,18
tt0821486,2
tt0821486,19
tt0821486,22
tt0825283,2
tt0825283,4
tt0825283,9
tt0825334,1
tt0825334,2
tt0835802,1
tt0835802,2
tt0837156,2
tt0837156,13
tt0838194,1
tt0838194,2
tt0838194,20
tt0848554,6
tt0848554,7
tt0848554,16
tt0850247,16
tt0850678,19
tt0859635,2
tt0859635,5
tt0859635,21
tt0862930,5
tt0862930,6
tt0862930,7
tt0874268,1
tt0874268,7
tt0884732,2
tt0891581,10
tt0906327,2
tt0914376,5
tt0914376,10
tt0915102,23
tt0918520,1
tt0918520,7
tt0918940,1
tt0918940,4
tt0918940,9
tt0929879,23
tt0929882,23
tt0929883,23
tt0932667,1
tt0936491,19
tt0937104,2
tt0937104,8
tt0937104,9
tt0937225,2
tt0958445,23
tt0958456,23
tt0958467,23
tt0958478,23
tt0958489,23
tt0958496,23
tt0960140,1
tt0960140,4
tt0960140,9
tt0960598,1
tt0964685,23
tt0965818,23
tt0965829,23
tt0965840,23
tt0965851,23
tt0965862,23
tt0965872,23
tt0965879,23
tt0972544,1
tt0972544,5
tt0972544,7
tt0974015,3
tt0974015,4
tt0974015,9
tt0977643,1
tt0977643,15
tt0977643,19
tt0980439,23
tt0981723,23
tt0981734,23
tt0981814,23
tt0981823,23
tt0984074,0
tt0984074,13
tt0989527,2
tt0989527,10
tt0995868,1
tt0995868,11
tt0995868,18
tt10001006,1
tt10001008,1
tt10001010,1
tt10001014,1
tt10001018,1
tt10001020,1
tt10001022,1
tt10001024,1
tt10001026,12
tt10001030,1
tt10001032,1
tt10001034,1
tt10001036,1
tt10001038,1
tt10001040,1
tt10001044,1
tt10001046,1
tt10001048,12
tt10001050,1
tt10001052,1
tt10001054,1
tt10001060,12
tt10001062,1
tt10001066,1
tt10001068,1
tt10001070,1
tt10001072,1
tt10001074,1
tt10001076,1
tt10001078,1
tt10001080,1
tt10001084,12
tt10001086,1
tt10001088,12
tt10001090,1
tt10001092,1
tt10001094,1
tt10001098,1
tt10001100,1
tt10001102,1
tt10001104,1
tt10001106,1
tt10001108,1
tt10001112,1
tt10001114,1
tt10001118,12
tt10001126,12
tt10001130,12
tt10001168,12
tt10001182,12
tt10001188,1
tt10001188,7
tt10001188,19
tt10001190,1
tt10001190,7
tt10001190,19
tt10001192,1
tt10001192,7
tt10001192,19
tt10001194,1
tt10001194,7
tt10001194,19
tt10001196,12
tt10001198,1
tt10001198,7
tt10001198,19
tt10001200,1
tt10001200,7
tt10001200,19
tt10001202,1
tt10001202,7
tt10001202,19
tt10001204,1
tt10001204,7
tt10001204,19
tt10001206,1
tt10001206,7
tt10001206,19
tt10001208,1
tt10001208,7
tt10001208,19
tt10001212,1
tt10001212,7
tt10001212,19
tt10001214,1
tt10001214,7
tt10001214,19
tt10001216,1
tt10001216,7
tt10001216,19
tt10001218,1
tt10001218,7
tt10001218,19
tt10001220,1
tt10001220,7
tt10001220,19
tt10001224,1
tt10001224,7
tt10001224,19
tt10001226,1
tt10001226,7
tt10001226,19
tt10001228,1
tt10001228,7
tt10001228,19
tt10001230,1
tt10001230,7
tt10001230,19
tt10001232,1
tt10001232,7
tt10001232,19
tt10001234,12
tt10001236,1
tt10001236,7
tt10001236,19
tt10001238,1
tt10001238,7
tt10001238,19
tt10001240,1
tt10001240,7
tt10001240,19
tt10001242,1
tt10001242,7
tt10001242,19
tt10001244,1
tt10001244,7
tt10001244,19
tt10001246,12
tt10001248,1
tt10001248,7
tt10001248,19
tt10001250,1
tt10001250,7
