ID,type
tt10002508,4
tt10002530,4
tt10002546,4
tt10002576,4
tt10002588,8
tt10002606,4
tt10002614,4
tt10002646,4
tt10002648,4
tt10002652,4
tt10002656,4
tt10002658,4
tt10002660,4
tt10002676,4
tt10002698,4
tt10002718,4
tt10002726,4
tt10002730,4
tt10002732,4
tt10002738,4
tt10002744,4
tt10002750,4
tt10002752,4
tt10002754,4
tt10002756,4
tt10002758,4
tt10002760,4
tt10002762,4
tt10002764,4
tt10002768,4
tt10002770,4
tt10002772,4
tt10002774,4
tt10002776,4
tt10002778,4
tt10002780,4
tt10002782,4
tt10002784,4
tt10002788,4
tt10002790,4
tt10002792,4
tt10002794,4
tt10002796,4
tt10002798,4
tt10002804,4
tt10002806,4
tt10002808,4
tt10002810,4
tt10002812,4
tt10002814,4
tt10002816,4
tt10002818,4
tt10002822,4
tt10002826,4
tt10002828,4
tt10002830,4
tt10002832,4
tt10002834,4
tt10002836,4
tt10002838,4
tt10002840,4
tt10002844,4
tt10002846,4
tt10002850,4
tt10002852,4
tt10002854,4
tt10002856,4
tt10002864,4
tt10002922,4
tt10002924,4
tt10002926,4
tt10002928,4
tt10002930,4
tt10002932,4
tt10002934,4
tt10002936,4
tt10002940,4
tt10002942,4
tt10002944,4
tt10002946,4
tt10002948,4
tt10002950,4
tt10002952,4
tt10002954,4
tt10002956,4
tt10002958,4
tt10002960,4
tt10002962,4
tt10002964,4
tt10002966,4
tt10002968,4
tt10002970,4
tt10002972,4
tt10002974,4
tt10002976,4
tt10002978,4
tt10002980,4
tt10002982,4
tt10002984,4
tt10002986,4
tt10002988,4
tt10002990,4
tt10002992,4
tt10002994,4
tt10002996,4
tt10002998,4
tt10003000,4
tt10003002,4
tt10003004,4
tt10003006,4
tt10003056,4
tt10003058,6
tt10003060,9
tt10003070,4
tt10003100,4
tt10003108,4
tt10003140,4
tt10003162,4
tt10003172,4
tt10003198,4
tt10003202,4
tt10003214,4
tt10003222,4
tt10003250,4
tt10003266,4
tt10003270,0
tt10003278,4
tt10003280,4
tt10003282,4
tt10003284,4
tt10003286,4
tt10003288,4
tt10003290,4
tt10003294,4
tt10003298,4
tt10003300,4
tt10003302,4
tt10003304,4
tt10003306,4
tt10003308,4
tt10003310,4
tt10003312,4
tt10003314,4
tt10003316,4
tt10003318,4
tt10003320,4
tt10003322,4
tt10003324,4
tt10003328,4
tt10003332,4
tt10003340,6
tt10003342,4
tt10003346,4
tt10003350,2
tt10003366,4
tt10003370,4
tt10003376,8
tt10003378,4
tt10003382,0
tt10003384,4
tt10003394,4
tt10003398,4
tt10003400,4
tt10003402,4
tt10003410,4
tt10003414,8
tt10003420,4
tt10003424,4
tt10003436,4
tt10003438,4
tt10003440,4
tt10003444,4
tt10003448,0
tt10003450,4
tt10003454,4
tt10003456,4
tt10003460,4
tt10003464,4
tt10003466,4
tt10003468,4
tt10003472,4
tt10003474,4
tt10003476,4
tt10003478,4
tt10003480,10
tt10003482,4
tt10003484,4
tt10003486,4
tt10003488,4
tt10003490,4
tt10003494,6
tt10003504,4
tt10003510,4
tt10003522,0
tt10003528,4
tt10003548,4
tt10003554,4
tt10003558,4
tt10003560,4
tt10003562,4
tt10003564,4
tt10003570,4
tt10003572,4
tt10003574,4
tt10003576,4
tt10003578,4
tt10003582,4
tt10003584,4
tt10003586,4
tt10003590,4
tt10003596,4
tt10003598,4
tt10003602,4
tt10003604,4
tt10003608,4
tt10003612,4
tt10003628,4
tt10003638,4
tt10003662,9
tt10003666,4
tt10003670,4
tt10003672,8
tt10003676,4
tt10003680,4
tt10003682,4
tt10003684,4
tt10003686,4
tt10003688,4
tt10003690,4
tt10003692,4
tt10003694,4
tt10003696,4
tt10003698,4
tt10003702,4
tt10003704,4
tt10003706,4
tt10003708,4
tt10003712,4
tt10003714,4
tt10003716,4
tt10003718,4
tt10003720,4
tt10003722,4
tt10003724,4
tt10003726,4
tt10003728,4
tt10003730,4
tt10003732,8
tt10003736,4
tt10003738,4
tt10003740,4
tt10003742,4
tt10003744,4
tt10003746,4
tt10003748,4
tt10003750,4
tt10003752,4
tt10003754,4
tt10003756,4
tt10003758,4
tt10003762,4
tt10003764,4
tt10003768,4
tt10003770,4
tt10003774,4
tt10003776,4
tt10003780,4
tt10003786,8
tt10003794,4
tt10003802,4
tt10003814,4
tt10003838,4
tt10003840,4
tt10003848,6
tt10003852,8
tt10003862,4
tt10003888,4
tt10003904,4
tt10003914,8
tt10003918,0
tt10003938,4
tt10003942,0
tt10003944,8
tt10003968,4
tt10003992,4
tt10003998,4
tt10004000,7
tt10004002,4
tt10004014,4
tt10004016,4
tt10004022,4
tt10004026,4
tt10004028,4
tt10004040,0
tt10004044,8
tt10004048,4
tt10004066,6
tt10004076,4
tt10004082,4
tt10004118,2
tt10004180,8
tt10004192,4
tt10004232,8
tt10004270,4
tt10004294,8
tt10004310,4
tt10004316,9
tt10004326,4
tt10004328,4
tt10004332,4
tt10004334,4
tt10004336,4
tt10004342,4
tt10004346,4
tt10004350,4
tt10004358,4
tt10004360,4
tt10004362,4
tt10004366,4
tt10004370,4
tt10004376,4
tt10004382,4
tt10004384,8
tt10004392,4
tt10004394,4
tt10004396,2
tt10004404,4
tt10004406,4
tt10004408,4
tt10004414,4
tt10004436,4
tt10004442,4
tt10004444,4
tt10004446,4
tt10004448,4
tt10004452,4
tt10004462,4
tt10004466,6
tt10004468,4
tt10004474,4
tt10004476,4
tt10004482,4
tt10004486,4
tt10004490,4
tt10004494,4
tt10004498,4
tt10004502,4
tt10004508,4
tt10004512,4
tt10004514,4
